exx,eyy,ezz,exy,exz,eyz,frequency
87,0.01,0.01,-0.01,0.0,0.01,-0.01,-10413.360400423875
88,0.01,0.01,-0.01,0.0,0.01,0.01,-10414.262097285264
89,0.01,0.01,-0.01,0.0,0.01,0.0,-10385.257176918723
90,0.01,0.01,-0.01,0.01,0.01,-0.01,-11041.387765248064
91,0.01,0.01,-0.01,0.01,0.01,0.0,-11025.55083688013
92,0.01,0.01,-0.01,0.01,0.01,0.01,-11110.564604795567
93,0.01,0.01,-0.01,0.01,0.0,0.0,-10967.512245743881
94,0.01,0.01,-0.01,0.01,0.0,-0.01,-11025.418743976035
95,0.01,0.01,-0.01,0.01,0.0,0.01,-11025.424834092528
96,0.01,0.01,-0.01,0.01,-0.01,0.01,-11041.47708173549
97,0.01,0.01,-0.01,0.01,-0.01,-0.01,-11110.749910481765
98,0.01,0.01,-0.01,0.01,-0.01,0.0,-11025.587167817617
99,0.01,0.01,-0.01,-0.01,0.0,0.0,-10965.817427404401
100,0.01,0.01,-0.01,-0.01,0.0,-0.01,-11025.525426260005
101,0.01,0.01,-0.01,-0.01,0.0,0.01,-11025.576667540516
102,0.01,0.01,-0.01,-0.01,0.01,-0.01,-11109.699232943363
103,0.01,0.01,-0.01,-0.01,0.01,0.0,-11025.648279529567
104,0.01,0.01,-0.01,-0.01,0.01,0.01,-11040.173096883984
105,0.01,0.01,-0.01,-0.01,-0.01,-0.01,-11040.308010036899
106,0.01,0.01,-0.01,-0.01,-0.01,0.01,-11109.803792526915
107,0.01,0.01,-0.01,-0.01,-0.01,0.0,-11025.714431573602
108,0.01,0.01,0.01,-0.01,0.0,0.01,-7180.670665590244
109,0.01,0.01,0.01,-0.01,0.0,-0.01,-7180.570165680026
110,0.01,0.01,0.01,-0.01,0.0,0.0,-6834.833030956402
111,0.01,0.01,0.01,-0.01,-0.01,0.01,-7654.3198716608995
112,0.01,0.01,0.01,-0.01,-0.01,-0.01,-6923.979654886116
113,0.01,0.01,0.01,-0.01,-0.01,0.0,-7179.628754636101
114,0.01,0.01,0.01,-0.01,0.01,0.0,-7178.872789476441
115,0.01,0.01,0.01,-0.01,0.01,0.01,-6924.3983762209
116,0.01,0.01,0.01,-0.01,0.01,-0.01,-7654.647083905601
117,0.01,0.01,0.01,0.01,-0.01,-0.01,-7655.827730822568
118,0.01,0.01,0.01,0.01,-0.01,0.0,-7180.132584049569
119,0.01,0.01,0.01,0.01,-0.01,0.01,-6924.819440250001
120,0.01,0.01,0.01,0.01,0.01,0.01,-7656.125050509796
121,0.01,0.01,0.01,0.01,0.01,-0.01,-6924.524694085441
