,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0,-198.599372,-198.54489,-198.34776,-198.013473,-197.578113,-197.001183,-196.310854,-195.422317,-194.432669,-193.231189,-191.94987,-190.494803,-188.825111,-187.026047,-185.052301,-182.895278,-180.55219,-178.029722,-175.298158,-172.366304,-169.399695,-166.023936,-162.421005,-158.588842,-154.523857,-150.217309,-145.657979,-140.836162,-135.745398,-130.361703,-124.707999,-118.780474,-112.651562,-106.285348,-99.570998,-92.469575,-84.910216,-76.815778,-67.928512,-58.034517,-46.617508,-31.448637,11.71768,34.817611,47.372331,56.828602,64.544195,71.002243,76.70672,81.72351,86.169979,90.139317,93.665454,96.900735,99.843815
1,-190.394762,-190.342606,-190.151387,-189.83041,-189.412823,-188.861324,-188.216087,-187.343045,-186.396035,-185.304387,-183.983696,-182.615595,-181.006808,-179.277356,-177.3882,-175.304046,-173.047064,-170.839831,-168.191052,-165.35001,-162.300391,-159.036936,-155.553221,-151.841356,-147.897641,-143.714358,-139.280816,-134.581642,-129.61176,-124.351099,-118.799054,-113.056896,-107.035639,-100.765842,-94.127228,-87.07414,-79.522137,-71.350121,-62.332099,-52.080888,-39.832672,-22.122795,24.359487,40.12699,50.869396,59.350959,66.424126,72.466206,77.762852,82.491441,86.706375,90.407679,93.856077,96.957706,99.793151
2,-182.177786,-182.130812,-181.945219,-181.626246,-181.239334,-180.7286,-180.078892,-179.24808,-178.33998,-177.294069,-176.029814,-174.710841,-173.165205,-171.501632,-169.923662,-167.926509,-165.736229,-163.382898,-160.833352,-158.089684,-155.144942,-151.989719,-148.617892,-145.024222,-141.197962,-137.132824,-132.816949,-128.239452,-123.383492,-118.258175,-112.796933,-107.157527,-101.289796,-95.1101,-88.530017,-81.503802,-73.925843,-65.643487,-56.378421,-45.540188,-31.686086,5.839444,32.049357,44.678959,54.047266,61.691506,68.181392,73.79256,78.744834,83.212209,87.196954,90.721691,94.013505,96.987266,99.712488
3,-173.941942,-173.896397,-173.71814,-173.414569,-173.038849,-172.550723,-171.901499,-171.124387,-170.52635,-169.520281,-168.301583,-166.996658,-165.592829,-163.936897,-162.172673,-160.252768,-158.149944,-155.887371,-153.418939,-150.770106,-147.924754,-144.875487,-141.612565,-138.129341,-134.414394,-130.460963,-126.259919,-121.794095,-117.07185,-112.030446,-106.658379,-101.200244,-95.412263,-89.285195,-82.749341,-75.712962,-68.060211,-59.593198,-49.90447,-38.17449,-21.339607,22.500241,38.056313,48.711023,56.942919,63.859469,69.829825,75.040065,79.673882,83.881677,87.65217,91.001956,94.138221,96.986035,99.614666
4,-165.873345,-165.830615,-165.666126,-165.373683,-165.035108,-164.566275,-163.948777,-163.235003,-162.380656,-161.427704,-160.252201,-159.000855,-157.680558,-156.060744,-154.365449,-152.518232,-150.497453,-148.317312,-145.946405,-143.378455,-140.629081,-137.679764,-134.521822,-131.143529,-127.537562,-123.690989,-119.595284,-115.23199,-110.597969,-105.655256,-100.452764,-95.080961,-89.362346,-83.267439,-76.723959,-69.644519,-61.854362,-53.062523,-42.738198,-29.371319,9.244885,31.521564,43.169569,52.161195,59.634029,65.893588,71.338027,76.224472,80.535706,84.506801,88.0699,91.261729,94.232863,96.952316,99.461843
5,-157.540523,-157.496195,-157.3348,-157.052908,-156.734426,-156.291889,-155.661448,-154.994338,-154.188329,-153.270723,-152.140893,-150.939165,-149.600676,-148.179705,-146.485654,-144.711515,-142.765781,-140.664378,-138.378556,-135.91147,-133.252907,-130.387393,-127.326341,-124.048444,-120.544547,-116.79735,-112.797283,-108.539388,-103.982937,-99.095118,-94.071515,-88.762482,-83.084375,-77.01004,-70.419348,-63.194017,-55.043397,-45.881136,-34.436164,-16.878257,24.44386,38.099353,47.750069,55.390101,62.027091,67.789796,72.798202,77.333769,81.401169,85.088619,88.452703,91.476275,94.297596,96.894463,99.294892
6,-149.126478,-149.090819,-148.932789,-148.660917,-148.353746,-147.941481,-147.331708,-146.662456,-145.914566,-145.036431,-144.033091,-142.793789,-141.515662,-140.167152,-138.513679,-136.810758,-134.935804,-132.914474,-130.708265,-128.325257,-125.753101,-122.98728,-120.01704,-116.820645,-113.408366,-109.753858,-105.859272,-101.674012,-97.18962,-92.402144,-87.473325,-82.204962,-76.536919,-70.423695,-63.727462,-56.289894,-47.651234,-37.640319,-23.717167,16.711982,33.130905,43.534782,51.67346,58.474502,64.2706,69.52195,74.173591,78.374804,82.193103,85.645117,88.796975,91.657944,94.335673,96.807951,99.099623
7,-140.631354,-140.593512,-140.444011,-140.177309,-139.890671,-139.497968,-138.909326,-138.368735,-137.550006,-136.700404,-135.736919,-134.546312,-133.310743,-131.942607,-130.515245,-128.792475,-126.986494,-125.038843,-122.908598,-120.602525,-118.113898,-115.429272,-112.543914,-109.443787,-106.116936,-102.553214,-98.71312,-94.572045,-90.142614,-85.495896,-80.602528,-75.337739,-69.62497,-63.405952,-56.517134,-48.722881,-39.455669,-27.403968,7.156072,28.641232,39.771577,48.208996,55.190775,61.20347,66.499483,71.160884,75.482568,79.37609,82.933464,86.1403,89.10584,91.805392,94.342704,96.688731,98.871371
8,-132.146255,-132.112019,-131.741333,-131.581238,-131.319494,-130.943365,-130.36498,-129.740806,-129.095265,-128.247616,-127.312322,-126.170302,-124.981378,-123.663401,-122.269434,-120.724213,-118.882963,-117.003019,-114.945862,-112.711876,-110.295431,-107.688036,-104.875423,-101.893609,-98.631577,-95.086229,-91.310452,-87.22121,-82.827887,-78.259361,-73.359315,-68.074267,-62.269612,-55.835574,-48.566427,-40.037165,-29.191791,-10.593219,25.029953,36.916211,45.303838,52.331801,58.389069,63.723601,68.49221,72.754608,76.684424,80.310716,83.613023,86.590912,89.370286,91.917462,94.313426,96.536963,98.610815
9,-123.293841,-123.282326,-123.146873,-122.919115,-122.515672,-122.096511,-121.668809,-121.070629,-120.415084,-119.630024,-118.7416,-117.736828,-116.479244,-115.209926,-113.808598,-112.385746,-110.466207,-108.644583,-106.778147,-104.608659,-102.259776,-99.716578,-97.033146,-94.062653,-90.793529,-87.335122,-83.597198,-79.547755,-75.225532,-70.612584,-65.651224,-60.227686,-54.195407,-47.367274,-39.377935,-29.28836,-13.074149,22.677074,34.466371,43.030394,50.04757,56.025503,61.339054,66.080556,70.355999,74.229975,77.833629,81.15896,84.21777,87.009268,89.55358,91.991021,94.249073,96.373054,98.311053
10,-114.334957,-114.314291,-114.180761,-113.988748,-113.602341,-113.200766,-112.681242,-112.19527,-111.520939,-110.811883,-109.961323,-108.991067,-107.771447,-106.538319,-105.177062,-103.682716,-102.142982,-100.454624,-98.213304,-96.096878,-94.040293,-91.539609,-88.742886,-85.693149,-82.648504,-79.209557,-75.473598,-71.404246,-67.062263,-62.407337,-57.287923,-51.57538,-45.104728,-37.478308,-27.789065,-11.933583,22.12899,33.378209,41.611258,48.37807,54.211435,59.374381,64.033016,68.252591,72.061011,75.629704,78.918378,81.962114,84.793143,87.411308,89.769904,92.039672,94.147414,96.147606,97.979971
11,-105.128623,-105.131192,-105.004019,-104.807257,-104.404101,-104.035692,-103.744371,-103.062389,-102.410044,-101.715183,-100.896837,-99.963805,-98.910948,-97.578883,-96.260213,-94.805463,-93.2263,-91.63278,-89.708628,-87.351042,-85.430911,-82.633964,-79.946295,-77.192109,-74.022454,-70.567415,-66.784577,-62.630371,-58.22042,-53.349356,-47.894462,-41.611409,-34.148856,-24.398706,-5.493956,23.503423,33.529135,41.142436,47.498941,53.031651,57.732003,62.213836,66.501564,70.186625,73.66739,76.910964,79.902005,82.712356,85.302117,87.730107,89.935716,92.0464,94.030725,95.809512,97.607707
