,strain directions varied from [001] to [011] (angle),e1 irrep magnitudes for strain between [001] and [111],e2 irrep magnitudes for strain between [001] and [111],e3 irrep magnitudes for strain between [001] and [111],e4 irrep magnitudes for strain between [001] and [111],e5 irrep magnitudes for strain between [001] and [111],e6 irrep magnitudes for strain between [001] and [111]
0,0,-0.01971417619147488,-0.047297215899081244,0.0,0,0,-0.0
1,1,-0.01970526789666397,-0.047281899434449305,-1.0272141952030184e-06,0,0,-0.0020063230989304758
2,2,-0.019679168540565853,-0.04723545468565675,-6.843522934822542e-06,0,0,-0.004013883523336332
3,3,-0.019636682957934953,-0.04715715307411407,-1.7914552791931094e-05,0,0,-0.006023923956653293
4,4,-0.019579279957159332,-0.047045694406770505,-3.496781030819919e-05,0,0,-0.00803758008450367
5,5,-0.019486838757380148,-0.04691453538555607,-9.477778193949128e-05,0,0,-0.010063078762725124
6,6,-0.019383783526514375,-0.0467464143778918,-0.0001206755303200737,0,0,-0.012091052156310924
7,7,-0.01928702685182075,-0.046528836081192675,-0.0001589915334312908,0,0,-0.014123625599065062
8,8,-0.01915940970416396,-0.04628704237731228,-0.0001974992658194531,0,0,-0.01616666634618439
9,9,-0.01901490272691513,-0.0460105497352217,-0.00023664062994707962,0,0,-0.018218724496173365
10,10,-0.018853638302389356,-0.045698446386178315,-0.00027504052945912275,0,0,-0.020280268084483615
11,11,-0.018678351510156833,-0.045348038179386346,-0.00031079297141280805,0,0,-0.02235064998950077
12,12,-0.018486749020401694,-0.04495995481003384,-0.00034288685845846586,0,0,-0.024430645207468193
13,13,-0.01828437260490786,-0.0445296907625561,-0.0003681802152074644,0,0,-0.026517659364069874
14,14,-0.01806791328301842,-0.04405831039063022,-0.00038986206903692726,0,0,-0.028613649991084244
15,15,-0.017843514974432453,-0.0435413332764586,-0.000399166417175541,0,0,-0.030713120984716277
16,16,-0.017609968748938346,-0.04297877341107508,-0.0003955692193649423,0,0,-0.03281535545313821
17,17,-0.017367302647497706,-0.04236998784013436,-0.00037660879054051885,0,0,-0.034918335080088875
18,18,-0.017115266285211532,-0.0417145198655796,-0.00034050040867072653,0,0,-0.037020181454519706
19,19,-0.01686126306442841,-0.04100772547304589,-0.0002827392100252603,0,0,-0.03911362175871605
20,20,-0.01660498305323745,-0.04024992335314765,-0.00019931990409029972,0,0,-0.04119463764407901
21,21,-0.016340819689338655,-0.039443798619335654,-9.314036806090923e-05,0,0,-0.04326518786499093
22,22,-0.016079028929336832,-0.038584146199539184,4.196493385019219e-05,0,0,-0.045313900958762234
23,23,-0.015820365206821715,-0.03767129064032964,0.0002087451427441092,0,0,-0.047335518303011616
24,24,-0.015560211981076197,-0.03670816803399831,0.00040703470465579104,0,0,-0.04932952495387492
25,25,-0.01530254957960381,-0.03569378514802816,0.0006399443528875698,0,0,-0.051288127584141786
26,26,-0.015051090321797597,-0.03462761428142298,0.0009093588861293012,0,0,-0.05320371020977339
27,27,-0.01480731837053463,-0.03351021314265802,0.0012147948341385813,0,0,-0.05507113721884308
28,28,-0.014569127861176485,-0.03234517009149525,0.0015612755302267115,0,0,-0.056884433162468974
29,29,-0.014340385802442988,-0.03113205287048559,0.0019459115430161158,0,0,-0.058637770314414264
30,30,-0.014122610489117263,-0.029870709002549425,0.002361803303514826,0,0,-0.06032969896151544
31,31,-0.013915855923416095,-0.028567357080333096,0.002824510161918961,0,0,-0.06194506105481351
32,32,-0.013719586110980132,-0.02722405266234882,0.003329421916954653,0,0,-0.06348209702063104
33,33,-0.013537403081756333,-0.025841148885373852,0.0038713289613569583,0,0,-0.06493624157306598
34,34,-0.013364794599504685,-0.024425333478249853,0.0044562093819867895,0,0,-0.06630207397816129
35,35,-0.013206182541555617,-0.022977718548863463,0.0050803985443368315,0,0,-0.06757317227557115
36,36,-0.013063957873848602,-0.021498935612552263,0.005736266700256726,0,0,-0.06874802891111052
37,37,-0.012936268398179534,-0.019994468442060813,0.006426514047976326,0,0,-0.06982144586855335
38,38,-0.01282249381491363,-0.018468160630408625,0.007149657951691822,0,0,-0.07079042282549795
39,39,-0.012724008240118352,-0.016923267619578422,0.007903504597745482,0,0,-0.07165075233585956
40,40,-0.01264057200410628,-0.015364404875097172,0.00868780099589812,0,0,-0.07239838025564556
41,41,-0.0125705555277223,-0.013804466632151461,0.009518864184820392,0,0,-0.07301658162850817
42,42,-0.01251706888481837,-0.012228587893428606,0.01035494664864318,0,0,-0.07353373124686001
43,43,-0.012479530162184426,-0.010640779077769547,0.011196452060042763,0,0,-0.07394709446840679
44,44,-0.012456633668812531,-0.009063011493803626,0.012076033985497982,0,0,-0.07422561746237555
45,45,-0.012449205484651856,-0.007489405943059377,0.012972031611886986,0,0,-0.07438425296657082
