,order parameter model prediction with depth 6,order parameter model dft value with depth 6,strain model prediction with depth 6,strain model dft value with depth 6,structure metric model prediction with depth 6,order parameter model prediction with depth 10,order parameter model dft value with depth 10,strain model prediction with depth 10,strain model dft value with depth 10,structure metric model prediction with depth 10
14,-7112.456824279827,-7166.562992358026,-11044.488452199066,-11109.8037925269,-7339.0946336423,-7166.68912969,-7166.562992358026,-11025.5766675405,-11109.8037925269,-7339.0946336423
15,-3944.1089598374742,-4033.1141542944165,-11326.74753313675,-11396.7690204338,-3432.0624426132,-4045.145968537444,-4033.1141542944165,-11384.5410936732,-11396.7690204338,-3432.0624426132
16,-7455.115710745316,-7469.329887331225,-10672.979482990662,-10413.3604004239,-11077.3612629139,-7482.624895695889,-7469.329887331225,-10378.7619602117,-10413.3604004239,-11077.3612629139
17,1069.2932488573322,1335.4716102510251,-11325.32167914915,-11271.1293150806,-3230.3811392194,1140.8565458586238,1335.4716102510251,-11258.9518049713,-11271.1293150806,-3230.3811392194
18,-7319.410471544669,-7350.781040996415,-11281.245178261268,-11395.796283699,923.6756698731,-7339.125817015205,-7350.781040996415,-11387.6180556051,-11395.796283699,923.6756698731
19,1069.2932488573322,1140.2693820156248,-8047.336544931688,-7696.5590411012,23.7963864477,1351.8654546047287,1140.2693820156248,-7750.0575201169,-7696.5590411012,23.7963864477
20,-7015.549506386958,-7166.822210011397,-11268.544320533807,-11243.141082275,-63.217892137,-7166.621912745408,-7166.822210011397,-11387.384142386,-11243.141082275,-63.217892137
21,-11234.858332176906,-11254.959094929665,-10672.979482990662,-10385.2571769187,3557.0226390084,-11249.971324437924,-11254.959094929665,-10261.501785463,-10385.2571769187,3557.0226390084
22,6775.893446149292,7030.0417104783355,-8047.336544931688,-7700.8345438512,-7350.8045328699,6664.7098161302765,7030.0417104783355,-7700.85771103,-7700.8345438512,-7350.8045328699
23,-7077.517291672765,-7168.0589340721,-11195.983519036072,-11243.1313271787,-7339.1258170152,-7167.622411123343,-7168.0589340721,-11257.1490986824,-11243.1313271787,-7339.1258170152
24,-180.55510396169086,23.795615705625,-8905.680604446172,-9055.5683405625,-7476.0568440696,-187.407831331204,23.795615705625,-8918.7264209021,-9055.5683405625,-7476.0568440696
25,4607.195338099019,4879.573632063025,-8077.335728984893,-7548.27340864,1140.1847612909,4865.638931073424,4879.573632063025,-7699.6532394382,-7548.27340864,1140.1847612909
26,-11229.761509563701,-11250.015872152464,-11344.528073497599,-11387.3954538276,9595.6796428516,-11209.511601750362,-11250.015872152464,-11383.3817387566,-11387.3954538276,9595.6796428516
27,950.4333652711501,923.442820792804,4267.281863645915,4022.2720753182,1057.1644878524,868.554222907536,923.442820792804,4126.58089950555,4022.2720753182,1057.1644878524
